time,knee_angle_r,Torque,path_actuator,,Moment arm,,,,Moment arm
0.745,-20.1140696,43.19185333,-651.9342346,,,,,,-0.066251856
0.74502388,-20.11605836,43.20078852,-652.063464,,,,,,-0.066252429
0.74504775,-20.11804598,43.20972371,-652.1926933,,,,,,-0.066253002
0.74516713,-20.12796707,43.25440231,-652.8388402,,,,,,-0.066255865
0.74576404,-20.17714945,43.47785098,-656.0695746,,,,,,-0.066270183
0.74738756,-20.30740353,44.08607329,-664.8567959,,,,,,-0.066309126
0.74959889,-20.47670459,44.91560731,-676.8254857,,,,,,-0.066362169
0.75,-20.50641865,45.06621099,-678.996464,,,,,,-0.06637179
0.75002096,-20.50796326,45.07291897,-679.0923866,,,,,,-0.066372293
0.75004193,-20.50950703,45.07962721,-679.1883092,,,,,,-0.066372796
0.75014675,-20.5172133,45.11316936,-679.6679224,,,,,,-0.06637531
0.75067086,-20.55543104,45.28091647,-682.0659882,,,,,,-0.066387882
0.75227509,-20.66918705,45.79474368,-689.4061627,,,,,,-0.066426363
0.75387933,-20.7781552,46.30913596,-696.7463372,,,,,,-0.066464843
0.755,-20.85148336,46.66881177,-701.8739885,,,,,,-0.066491724
0.75504023,-20.85407353,46.6788345,-702.0145367,,,,,,-0.066492689
0.75508047,-20.85666076,46.68885767,-702.155085,,,,,,-0.066493655
0.75528164,-20.86955307,46.73897709,-702.8578262,,,,,,-0.06649848
0.75628748,-20.93292926,46.98967573,-706.3715322,,,,,,-0.066522607
0.75771782,-21.01998931,47.34647136,-711.368166,,,,,,-0.066556916
0.75914817,-21.10351308,47.70361001,-716.3647997,,,,,,-0.066591226
0.76,-21.15158565,47.91646409,-719.3405076,,,,,,-0.066611658
0.76006148,-21.15500709,47.92782322,-719.4951064,,,,,,-0.066613133
0.76012297,-21.15842202,47.93918298,-719.6497052,,,,,,-0.066614608
0.76043038,-21.17539919,47.99598791,-720.4226993,,,,,,-0.066621982
0.76196744,-21.25786177,48.28018376,-724.2876698,,,,,,-0.066658851
0.76332147,-21.32719631,48.53077352,-727.6923963,,,,,,-0.06669133
0.7646755,-21.39348246,48.78158444,-731.0971228,,,,,,-0.066723809
0.765,-21.40892036,48.84172522,-731.9130801,,,,,,-0.066731592
0.76508969,-21.41315686,48.85495734,-732.087767,,,,,,-0.066733744
0.76517938,-21.41738023,48.86819022,-732.2624538,,,,,,-0.066735895
0.76562782,-21.4383006,48.93436572,-733.1358881,,,,,,-0.066746652
0.76723709,-21.51070083,49.17199785,-736.2702956,,,,,,-0.066785253
0.76862716,-21.56991815,49.37745683,-738.9777646,,,,,,-0.066818596
0.77,-21.62543224,49.5805465,-741.6516769,,,,,,-0.066851526
0.77013318,-21.63066235,49.59616764,-741.8498961,,,,,,-0.066854721
0.77026636,-21.63586511,49.61179004,-742.0481153,,,,,,-0.066857915
0.77093227,-21.66146986,49.68992125,-743.0392112,,,,,,-0.066873888
0.77255494,-21.72103107,49.88044245,-745.4542966,,,,,,-0.066912811
0.77417762,-21.7766361,50.07115184,-747.869382,,,,,,-0.066951734
0.775,-21.80333156,50.16787631,-749.0933633,,,,,,-0.06697146
0.77515423,-21.80822804,50.17982825,-749.2304392,,,,,,-0.06697516
0.77530847,-21.81308995,50.19178138,-749.3675151,,,,,,-0.066978859
0.77607963,-21.83688442,50.25156155,-750.0528948,,,,,,-0.066997357
0.77772077,-21.88470343,50.3788661,-751.5114716,,,,,,-0.067036723
0.77936191,-21.92874843,50.50628548,-752.9700483,,,,,,-0.067076088
0.78,-21.94486466,50.55585799,-753.5371517,,,,,,-0.067091394
0.78001533,-21.94524488,50.55633549,-753.5401388,,,,,,-0.067091762
0.78003066,-21.94562478,50.55681299,-753.5431259,,,,,,-0.06709213
0.7801073,-21.94751939,50.55920034,-753.5580613,,,,,,-0.067093968
0.7804905,-21.95687142,50.57113791,-753.6327383,,,,,,-0.06710316
0.78214813,-21.99503821,50.62279257,-753.9557701,,,,,,-0.067142921
0.78352643,-22.02399362,50.6657625,-754.2243692,,,,,,-0.067175982
0.78490474,-22.05044636,50.70875037,-754.4929682,,,,,,-0.067209043
0.785,-22.0521819,50.71172207,-754.511532,,,,,,-0.067211328
0.78504345,-22.05296949,50.71084139,-754.4867293,,,,,,-0.06721237
0.7850869,-22.05375458,50.70996067,-754.4619266,,,,,,-0.067213412
